Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite1,Chrome 76.0.3809.100,,,2019-08-13 20:17:28,2019-08-13 20:17:40,11.974s,INCOMPLETE
,,,,,,,
Test Cases/Day1/TestCase1,Chrome 76.0.3809.100,,,2019-08-13 20:17:28,2019-08-13 20:17:36,7.346s,PASSED
"openBrowser("""")",Chrome 76.0.3809.100,,,2019-08-13 20:17:28,2019-08-13 20:17:32,3.252s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 76.0.3809.100,,,2019-08-13 20:17:32,2019-08-13 20:17:32,0.346s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 76.0.3809.100,,,2019-08-13 20:17:32,2019-08-13 20:17:32,0.361s,PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 76.0.3809.100,,,2019-08-13 20:17:32,2019-08-13 20:17:33,0.271s,PASSED
"setEncryptedText(findTestObject(""Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 76.0.3809.100,,,2019-08-13 20:17:33,2019-08-13 20:17:33,0.305s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/button_Login""))",Chrome 76.0.3809.100,,,2019-08-13 20:17:33,2019-08-13 20:17:33,0.242s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_CURA Healthcare Service/select_Tokyo""), ""Hongkong CURA Healthcare Center"", true)",Chrome 76.0.3809.100,,,2019-08-13 20:17:33,2019-08-13 20:17:34,0.391s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Apply for hospital readmission_hospital_readmission""))",Chrome 76.0.3809.100,,,2019-08-13 20:17:34,2019-08-13 20:17:34,0.193s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Medicaid_programs""))",Chrome 76.0.3809.100,,,2019-08-13 20:17:34,2019-08-13 20:17:34,0.160s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/span_Visit Date (Required)_glyphicon glyphicon-calendar""))",Chrome 76.0.3809.100,,,2019-08-13 20:17:34,2019-08-13 20:17:34,0.143s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/td_21""))",Chrome 76.0.3809.100,,,2019-08-13 20:17:34,2019-08-13 20:17:34,0.137s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/textarea_Comment_comment""), ""Test Comments"")",Chrome 76.0.3809.100,,,2019-08-13 20:17:34,2019-08-13 20:17:34,0.172s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 76.0.3809.100,,,2019-08-13 20:17:34,2019-08-13 20:17:35,0.223s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Go to Homepage""))",Chrome 76.0.3809.100,,,2019-08-13 20:17:35,2019-08-13 20:17:35,0.238s,PASSED
closeBrowser(),Chrome 76.0.3809.100,,,2019-08-13 20:17:35,2019-08-13 20:17:36,0.659s,PASSED
,,,,,,,
Test Cases/Day1/Test_ManualMode,Chrome 76.0.3809.100,,,2019-08-13 20:17:36,2019-08-13 20:17:40,4.285s,PASSED
"openBrowser("""")",Chrome 76.0.3809.100,,,2019-08-13 20:17:36,2019-08-13 20:17:38,2.142s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/"")",Chrome 76.0.3809.100,,,2019-08-13 20:17:38,2019-08-13 20:17:38,0.498s,PASSED
"setText(findTestObject(""Objects_for_Test_ManualMode/Page_OrangeHRM/input_LOGIN Panel_txtUsername""), ""Admin"")",Chrome 76.0.3809.100,,,2019-08-13 20:17:38,2019-08-13 20:17:39,0.170s,PASSED
"setEncryptedText(findTestObject(""Objects_for_Test_ManualMode/Page_OrangeHRM/input_Username_txtPassword""), ""hUKwJTbofgPU9eVlw/CnDQ=="")",Chrome 76.0.3809.100,,,2019-08-13 20:17:39,2019-08-13 20:17:39,0.156s,PASSED
"click(findTestObject(""Objects_for_Test_ManualMode/Page_OrangeHRM/input_Password_Submit""))",Chrome 76.0.3809.100,,,2019-08-13 20:17:39,2019-08-13 20:17:39,0.516s,PASSED
closeBrowser(),Chrome 76.0.3809.100,,,2019-08-13 20:17:39,2019-08-13 20:17:40,0.621s,PASSED
